time,n23g0013->n23g0013,n23g0013->n23g0015,n23g0013->n23g0024,n23g0015->n23g0013,n23g0015->n23g0015,n23g0015->n23g0024,n23g0024->n23g0013,n23g0024->n23g0015,n23g0024->n23g0024
15:20:16,0.000,0.048,0.065,0.056,0.000,0.052,0.060,0.040,0.000
15:20:17,0.000,0.050,0.058,0.052,0.000,0.054,0.051,0.040,0.000
15:20:18,0.000,0.052,0.059,0.051,0.000,0.060,0.052,0.040,0.000
15:20:19,0.000,0.048,0.055,0.060,0.000,0.056,0.055,0.042,0.000
15:20:20,0.000,0.052,0.066,0.052,0.000,0.055,0.052,0.040,0.000
15:20:21,0.000,0.048,0.062,0.059,0.000,0.062,0.064,0.037,0.000
15:20:22,0.000,0.051,0.062,0.051,0.000,0.059,0.057,0.039,0.000
15:20:23,0.000,0.052,0.059,0.050,0.000,0.063,0.050,0.042,0.000
15:20:24,0.000,0.055,0.067,0.055,0.000,0.055,0.058,0.049,0.000
15:20:25,0.000,0.053,0.061,0.056,0.000,0.055,0.058,0.038,0.000
15:20:26,0.000,0.054,0.058,0.057,0.000,0.058,0.052,0.040,0.000
15:20:27,0.000,0.052,0.057,0.064,0.000,0.057,0.061,0.040,0.000
15:20:28,0.000,0.050,0.061,0.055,0.000,0.060,0.055,0.040,0.000
15:20:29,0.000,0.052,0.063,0.058,0.000,0.055,0.053,0.046,0.000
15:20:30,0.000,0.051,0.059,0.054,0.000,0.062,0.056,0.039,0.000
15:20:31,0.000,0.047,0.056,0.052,0.000,0.056,0.053,0.040,0.000
15:20:32,0.000,0.068,0.062,0.057,0.000,0.053,0.093,0.041,0.000
15:20:33,0.000,0.049,0.057,0.057,0.000,0.056,0.062,0.040,0.000
15:20:34,0.000,0.052,0.060,0.051,0.000,0.056,0.055,0.039,0.000
15:20:35,0.000,0.055,0.062,0.051,0.000,0.053,0.056,0.041,0.000
15:20:36,0.000,0.048,0.063,0.058,0.000,0.053,0.054,0.040,0.000
15:20:37,0.000,0.055,0.066,0.058,0.000,0.059,0.054,0.040,0.000
15:20:38,0.000,0.051,0.057,0.053,0.000,0.056,0.062,0.039,0.000
15:20:39,0.000,0.055,0.062,0.047,0.000,0.047,0.049,0.041,0.000
15:20:40,0.000,0.058,0.057,0.049,0.000,0.050,0.055,0.039,0.000
15:20:41,0.000,0.049,0.056,0.056,0.000,0.057,0.055,0.039,0.000
15:20:42,0.000,0.049,0.058,0.050,0.000,0.057,0.055,0.040,0.000
15:20:43,0.000,0.048,0.059,0.048,0.000,0.046,0.050,0.040,0.000
15:20:44,0.000,0.052,0.058,0.048,0.000,0.053,0.054,0.039,0.000
15:20:45,0.000,0.054,0.062,0.051,0.000,0.053,0.093,0.040,0.000
15:20:46,0.000,0.048,0.066,0.056,0.000,0.057,0.067,0.041,0.000
15:20:47,0.000,0.050,0.063,0.054,0.000,0.059,0.081,0.039,0.000
15:20:48,0.000,0.050,0.059,0.050,0.000,0.057,0.053,0.037,0.000
15:20:49,0.000,0.050,0.060,0.052,0.000,0.060,0.073,0.042,0.000
15:20:50,0.000,0.053,0.061,0.051,0.000,0.057,0.058,0.038,0.000
15:20:51,0.000,0.057,0.066,0.051,0.000,0.058,0.056,0.039,0.000
15:20:52,0.000,0.051,0.060,0.051,0.000,0.056,0.061,0.043,0.000
15:20:53,0.000,0.051,0.061,0.052,0.000,0.061,0.056,0.040,0.000
15:20:54,0.000,0.050,0.064,0.051,0.000,0.055,0.057,0.040,0.000
15:20:55,0.000,0.063,0.058,0.058,0.000,0.054,0.067,0.039,0.000
15:20:56,0.000,0.051,0.062,0.050,0.000,0.054,0.054,0.040,0.000
15:20:57,0.000,0.060,0.059,0.053,0.000,0.055,0.058,0.040,0.000
15:20:58,0.000,0.049,0.061,0.052,0.000,0.057,0.052,0.042,0.000
15:20:59,0.000,0.052,0.065,0.048,0.000,0.057,0.056,0.040,0.000
15:21:00,0.000,0.053,0.062,0.050,0.000,0.057,0.054,0.047,0.000
15:21:01,0.000,0.054,0.077,0.098,0.000,0.059,0.113,0.070,0.000
15:21:02,0.000,0.060,0.069,0.085,0.000,0.051,0.114,0.051,0.000
15:21:03,0.000,0.048,0.069,0.055,0.000,0.048,0.070,0.038,0.000
15:21:04,0.000,0.053,0.067,0.052,0.000,0.047,0.088,0.039,0.000
15:21:05,0.000,0.055,0.060,0.055,0.000,0.046,0.065,0.038,0.000
15:21:06,0.000,0.049,0.060,0.063,0.000,0.051,0.064,0.039,0.000
