time,n23g0013->n23g0013,n23g0013->n23g0015,n23g0013->n23g0016,n23g0013->n23g0017,n23g0013->n23g0018,n23g0013->n23g0019,n23g0013->n23g0022,n23g0013->n23g0024,n23g0015->n23g0013,n23g0015->n23g0015,n23g0015->n23g0016,n23g0015->n23g0017,n23g0015->n23g0018,n23g0015->n23g0019,n23g0015->n23g0022,n23g0015->n23g0024,n23g0016->n23g0013,n23g0016->n23g0015,n23g0016->n23g0016,n23g0016->n23g0017,n23g0016->n23g0018,n23g0016->n23g0019,n23g0016->n23g0022,n23g0016->n23g0024,n23g0017->n23g0013,n23g0017->n23g0015,n23g0017->n23g0016,n23g0017->n23g0017,n23g0017->n23g0018,n23g0017->n23g0019,n23g0017->n23g0022,n23g0017->n23g0024,n23g0018->n23g0013,n23g0018->n23g0015,n23g0018->n23g0016,n23g0018->n23g0017,n23g0018->n23g0018,n23g0018->n23g0019,n23g0018->n23g0022,n23g0018->n23g0024,n23g0019->n23g0013,n23g0019->n23g0015,n23g0019->n23g0016,n23g0019->n23g0017,n23g0019->n23g0018,n23g0019->n23g0019,n23g0019->n23g0022,n23g0019->n23g0024,n23g0022->n23g0013,n23g0022->n23g0015,n23g0022->n23g0016,n23g0022->n23g0017,n23g0022->n23g0018,n23g0022->n23g0019,n23g0022->n23g0022,n23g0022->n23g0024,n23g0024->n23g0013,n23g0024->n23g0015,n23g0024->n23g0016,n23g0024->n23g0017,n23g0024->n23g0018,n23g0024->n23g0019,n23g0024->n23g0022,n23g0024->n23g0024
15:24:39,0.000,0.043,0.039,0.039,0.040,0.041,0.188,0.038,0.048,0.000,0.040,0.039,0.040,0.041,0.150,0.045,0.076,0.050,0.000,0.046,0.046,0.045,0.167,0.041,0.048,0.045,0.044,0.000,0.045,0.043,0.159,0.042,0.049,0.049,0.046,0.045,0.000,0.047,0.053,0.041,0.049,0.044,0.044,0.045,0.042,0.000,0.051,0.042,0.046,0.061,0.132,0.144,0.042,0.153,0.000,0.043,0.056,0.043,0.040,0.038,0.039,0.045,0.035,0.000
15:24:40,0.000,0.043,0.045,0.042,0.044,0.040,0.160,0.047,0.050,0.000,0.043,0.038,0.039,0.038,0.156,0.046,0.052,0.046,0.000,0.050,0.046,0.046,0.162,0.041,0.051,0.046,0.046,0.000,0.045,0.045,0.166,0.042,0.049,0.047,0.046,0.045,0.000,0.047,0.056,0.041,0.045,0.045,0.045,0.044,0.043,0.000,0.052,0.042,0.053,0.048,0.156,0.134,0.046,0.148,0.000,0.038,0.052,0.043,0.041,0.039,0.039,0.040,0.036,0.000
15:24:41,0.000,0.042,0.038,0.039,0.039,0.040,0.152,0.039,0.047,0.000,0.039,0.038,0.040,0.038,0.175,0.046,0.049,0.048,0.000,0.049,0.046,0.047,0.166,0.041,0.047,0.047,0.043,0.000,0.042,0.046,0.155,0.040,0.054,0.051,0.046,0.046,0.000,0.046,0.053,0.043,0.045,0.044,0.043,0.045,0.045,0.000,0.056,0.066,0.044,0.042,0.127,0.129,0.039,0.129,0.000,0.042,0.046,0.041,0.040,0.038,0.038,0.040,0.035,0.000
15:24:42,0.000,0.043,0.039,0.042,0.040,0.041,0.153,0.040,0.047,0.000,0.039,0.038,0.039,0.038,0.149,0.058,0.049,0.044,0.000,0.046,0.046,0.051,0.166,0.041,0.050,0.046,0.045,0.000,0.045,0.044,0.155,0.043,0.050,0.047,0.046,0.047,0.000,0.045,0.057,0.042,0.047,0.043,0.046,0.046,0.043,0.000,0.057,0.042,0.051,0.044,0.144,0.144,0.043,0.147,0.000,0.042,0.054,0.042,0.042,0.040,0.042,0.041,0.036,0.000
15:24:43,0.000,0.044,0.038,0.043,0.040,0.041,0.152,0.041,0.051,0.000,0.041,0.039,0.038,0.038,0.146,0.044,0.054,0.045,0.000,0.048,0.046,0.044,0.164,0.042,0.050,0.044,0.046,0.000,0.044,0.043,0.157,0.043,0.049,0.047,0.046,0.045,0.000,0.045,0.060,0.042,0.046,0.042,0.045,0.044,0.045,0.000,0.053,0.042,0.049,0.043,0.135,0.132,0.043,0.130,0.000,0.039,0.052,0.044,0.041,0.038,0.038,0.040,0.034,0.000
15:24:44,0.000,0.043,0.060,0.041,0.040,0.040,0.157,0.038,0.054,0.000,0.044,0.038,0.038,0.039,0.150,0.047,0.047,0.049,0.000,0.049,0.046,0.047,0.151,0.050,0.050,0.046,0.045,0.000,0.046,0.043,0.157,0.043,0.051,0.046,0.044,0.049,0.000,0.045,0.052,0.043,0.046,0.044,0.045,0.043,0.043,0.000,0.050,0.042,0.046,0.043,0.138,0.135,0.071,0.128,0.000,0.044,0.049,0.046,0.040,0.039,0.044,0.040,0.038,0.000
15:24:45,0.000,0.043,0.040,0.038,0.040,0.041,0.151,0.041,0.044,0.000,0.076,0.039,0.038,0.041,0.145,0.050,0.066,0.044,0.000,0.049,0.045,0.047,0.159,0.042,0.049,0.045,0.047,0.000,0.046,0.043,0.161,0.041,0.047,0.048,0.045,0.045,0.000,0.045,0.052,0.041,0.045,0.043,0.046,0.044,0.041,0.000,0.050,0.049,0.054,0.042,0.169,0.137,0.043,0.134,0.000,0.043,0.047,0.040,0.079,0.039,0.040,0.040,0.034,0.000
15:24:46,0.000,0.044,0.039,0.040,0.040,0.040,0.152,0.044,0.041,0.000,0.040,0.038,0.039,0.037,0.153,0.049,0.048,0.043,0.000,0.046,0.043,0.044,0.159,0.041,0.050,0.046,0.046,0.000,0.044,0.044,0.163,0.043,0.047,0.048,0.045,0.045,0.000,0.045,0.053,0.042,0.045,0.065,0.045,0.044,0.043,0.000,0.054,0.050,0.050,0.048,0.135,0.139,0.044,0.135,0.000,0.046,0.045,0.040,0.042,0.040,0.042,0.041,0.035,0.000
15:24:47,0.000,0.057,0.054,0.041,0.043,0.040,0.150,0.044,0.046,0.000,0.040,0.041,0.039,0.037,0.141,0.038,0.057,0.048,0.000,0.076,0.047,0.043,0.148,0.040,0.051,0.046,0.044,0.000,0.047,0.044,0.153,0.046,0.112,0.045,0.046,0.071,0.000,0.043,0.050,0.041,0.045,0.045,0.041,0.042,0.044,0.000,0.054,0.042,0.046,0.041,0.128,0.131,0.058,0.145,0.000,0.041,0.060,0.042,0.040,0.038,0.038,0.061,0.044,0.000
15:24:48,0.000,0.045,0.039,0.038,0.040,0.041,0.147,0.040,0.043,0.000,0.041,0.040,0.038,0.037,0.142,0.044,0.048,0.045,0.000,0.049,0.045,0.044,0.161,0.042,0.048,0.046,0.048,0.000,0.044,0.045,0.153,0.042,0.048,0.047,0.054,0.049,0.000,0.046,0.053,0.043,0.045,0.045,0.043,0.043,0.042,0.000,0.049,0.042,0.047,0.044,0.140,0.127,0.043,0.131,0.000,0.044,0.043,0.040,0.043,0.040,0.042,0.042,0.035,0.000
